Tue 28 Mar 2023 01:55:16 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=46 ttl=255 time=7.81 ms
Tue 28 Mar 2023 01:55:17 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=47 ttl=255 time=6.39 ms
Tue 28 Mar 2023 01:55:18 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=48 ttl=255 time=6.36 ms
Tue 28 Mar 2023 01:55:19 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=49 ttl=255 time=8.13 ms
Tue 28 Mar 2023 01:55:20 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=50 ttl=255 time=13.6 ms
Tue 28 Mar 2023 01:55:21 AM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=51 ttl=255 time=13.9 ms
Tue 28 Mar 2023 01:55:22 AM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=52 ttl=255 time=12.0 ms
Tue 28 Mar 2023 01:55:23 AM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=53 ttl=255 time=11.0 ms
Fri 12 Jul 2024 05:24:40 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=54 ttl=255 time=14.6 ms
Fri 12 Jul 2024 05:24:41 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=55 ttl=255 time=16.8 ms
Fri 12 Jul 2024 05:24:42 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=56 ttl=255 time=8.56 ms
Fri 12 Jul 2024 05:24:43 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=57 ttl=255 time=6.32 ms
Fri 12 Jul 2024 05:24:44 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=58 ttl=255 time=4.45 ms
Fri 12 Jul 2024 05:24:45 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=59 ttl=255 time=7.16 ms
Fri 12 Jul 2024 05:24:46 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=60 ttl=255 time=8.58 ms
Fri 12 Jul 2024 05:24:47 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=61 ttl=255 time=7.11 ms
Fri 12 Jul 2024 05:24:48 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=62 ttl=255 time=5.38 ms
Fri 12 Jul 2024 05:24:49 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=63 ttl=255 time=39.0 ms
Fri 12 Jul 2024 05:24:50 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=64 ttl=255 time=23.8 ms
Fri 12 Jul 2024 05:24:51 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=65 ttl=255 time=6.45 ms
Fri 12 Jul 2024 05:24:52 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=66 ttl=255 time=19.5 ms
Fri 12 Jul 2024 05:24:53 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=67 ttl=255 time=5.77 ms
Fri 12 Jul 2024 05:24:54 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=68 ttl=255 time=5.73 ms
Fri 12 Jul 2024 05:24:55 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=69 ttl=255 time=12.0 ms
Fri 12 Jul 2024 05:24:56 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=70 ttl=255 time=14.0 ms
Fri 12 Jul 2024 05:24:57 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=71 ttl=255 time=9.45 ms
Fri 12 Jul 2024 05:24:58 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=72 ttl=255 time=7.96 ms
Fri 12 Jul 2024 05:24:59 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=73 ttl=255 time=15.5 ms
Fri 12 Jul 2024 05:25:00 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=74 ttl=255 time=9.64 ms
Fri 12 Jul 2024 05:25:01 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=75 ttl=255 time=34.7 ms
Fri 12 Jul 2024 05:25:02 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=76 ttl=255 time=9.76 ms
Fri 12 Jul 2024 05:25:03 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=77 ttl=255 time=5.84 ms
Fri 12 Jul 2024 05:25:04 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=78 ttl=255 time=16.4 ms
Fri 12 Jul 2024 05:25:05 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=79 ttl=255 time=20.6 ms
Fri 12 Jul 2024 05:25:06 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=80 ttl=255 time=10.2 ms
Fri 12 Jul 2024 05:25:07 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=81 ttl=255 time=10.6 ms
Fri 12 Jul 2024 05:25:08 PM CST signal:-62 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=82 ttl=255 time=17.5 ms
Fri 12 Jul 2024 05:25:09 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=83 ttl=255 time=52.7 ms
Fri 12 Jul 2024 05:25:10 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=84 ttl=255 time=36.0 ms
Fri 12 Jul 2024 05:25:11 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=85 ttl=255 time=13.7 ms
Fri 12 Jul 2024 05:25:12 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=86 ttl=255 time=18.3 ms
Fri 12 Jul 2024 05:25:13 PM CST signal:-64 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=87 ttl=255 time=14.3 ms
Fri 12 Jul 2024 05:25:14 PM CST signal:-64 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=88 ttl=255 time=6.20 ms
Fri 12 Jul 2024 05:25:15 PM CST signal:-64 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=89 ttl=255 time=7.87 ms
Fri 12 Jul 2024 05:25:16 PM CST signal:-64 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=90 ttl=255 time=10.3 ms
Fri 12 Jul 2024 05:25:17 PM CST signal:-64 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=91 ttl=255 time=8.14 ms
Fri 12 Jul 2024 05:25:18 PM CST signal:-66 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=92 ttl=255 time=4.29 ms
Fri 12 Jul 2024 05:25:19 PM CST signal:-66 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=93 ttl=255 time=10.1 ms
Fri 12 Jul 2024 05:25:20 PM CST signal:-66 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=94 ttl=255 time=7.72 ms
Fri 12 Jul 2024 05:25:21 PM CST signal:-66 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=95 ttl=255 time=14.9 ms
Fri 12 Jul 2024 05:25:22 PM CST signal:-65 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=96 ttl=255 time=16.8 ms
Fri 12 Jul 2024 05:25:23 PM CST signal:-64 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=97 ttl=255 time=28.7 ms
Fri 12 Jul 2024 05:25:24 PM CST signal:-64 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=98 ttl=255 time=3.02 ms
Fri 12 Jul 2024 05:25:25 PM CST signal:-64 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=99 ttl=255 time=9.92 ms
Fri 12 Jul 2024 05:25:26 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=100 ttl=255 time=7.53 ms
Fri 12 Jul 2024 05:25:27 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=101 ttl=255 time=8.39 ms
Fri 12 Jul 2024 05:25:28 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=102 ttl=255 time=8.48 ms
Fri 12 Jul 2024 05:25:29 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=103 ttl=255 time=14.2 ms
Fri 12 Jul 2024 05:25:30 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=104 ttl=255 time=15.4 ms
Fri 12 Jul 2024 05:25:31 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=105 ttl=255 time=17.1 ms
Fri 12 Jul 2024 05:25:32 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=106 ttl=255 time=19.8 ms
Fri 12 Jul 2024 05:25:33 PM CST signal:-63 bssid:5c:e7:47:d4:cc:22 freq:2437 64 bytes from 10.100.3.254: icmp_seq=107 ttl=255 time=10.1 ms
