Sat 13 Jul 2024 02:32:17 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=114 ttl=255 time=15.1 ms
Sat 13 Jul 2024 02:32:18 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=115 ttl=255 time=10.8 ms
Sat 13 Jul 2024 02:32:19 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=116 ttl=255 time=20.1 ms
Sat 13 Jul 2024 02:32:20 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=117 ttl=255 time=6.34 ms
Sat 13 Jul 2024 02:32:21 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=118 ttl=255 time=3.27 ms
Sat 13 Jul 2024 02:32:22 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=119 ttl=255 time=30.6 ms
Sat 13 Jul 2024 02:32:23 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=120 ttl=255 time=7.77 ms
Sat 13 Jul 2024 02:32:24 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=121 ttl=255 time=9.48 ms
Sat 13 Jul 2024 02:32:25 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=122 ttl=255 time=4.89 ms
Sat 13 Jul 2024 02:32:26 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=123 ttl=255 time=3.77 ms
Sat 13 Jul 2024 02:32:27 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=124 ttl=255 time=13.6 ms
Sat 13 Jul 2024 02:32:28 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=125 ttl=255 time=22.6 ms
Sat 13 Jul 2024 02:32:29 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=126 ttl=255 time=15.8 ms
Sat 13 Jul 2024 02:32:30 PM CST signal:-70 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=127 ttl=255 time=3.62 ms
Sat 13 Jul 2024 02:32:31 PM CST signal:-71 bssid:64:13:ab:ad:fc:c2 freq:2437 64 bytes from 10.100.3.254: icmp_seq=128 ttl=255 time=12.3 ms
